Model,Variable,Coefficient,p_value
pretrained,const,0.36274588593225265,1.5740617110264584e-11
pretrained,luminance_mean,0.14998674933474676,0.00030993694625323546
pretrained,blur,0.009167151979315738,0.8838429015151603
pretrained,density,-0.04650801464752355,0.3412611080824187
pretrained,presence_mosh_pit,-0.21903529860148077,0.1721244091351689
pretrained,presence_hands_raised,-0.25646308559323455,0.006988932671440302
scratch,const,0.015765845278088764,0.1176870297906324
scratch,luminance_mean,0.00326162440425688,0.7508231600859601
scratch,blur,-0.008383828483658316,0.12236135214171491
scratch,density,-0.00042310163621547185,0.8486514092787474
scratch,presence_mosh_pit,-0.011904527020162568,0.213911828795733
scratch,presence_hands_raised,0.006545157479682836,0.8026561460606763
