,tp,fp,fn,precision,recall,f1,num_gt_objects,num_pred_objects,luminance_mean,luminance_norm,luminance_var,blur,entropy,density,occupied_ratio,presence_mosh_pit,presence_hands_raised
tp,1.0,0.43369119644225124,-0.36807703747129195,0.9001241200682105,0.9617759579956189,0.954960268048207,0.6213343698529337,0.7998372544095249,0.24386504768380632,0.24386504768380632,0.025224052646503705,-0.2200076232766643,0.11362537647264052,-0.005507253129310995,-0.1221179948172451,-0.20381018850995183,-0.20667088386933943
fp,0.43369119644225124,1.0,-0.13741208124879312,0.15915463728839988,0.4097404375518395,0.2787864422771657,0.3462335911566206,0.8590057204540175,0.2650714353185292,0.2650714353185292,0.028338645262044097,-0.019074088157145064,0.21361032400476232,0.10985628948465816,0.1383066024945641,-0.18614350885121778,-0.030905510037401433
fn,-0.36807703747129195,-0.13741208124879312,1.0,-0.2655650079401511,-0.4963516085824275,-0.42817070112606115,0.38972732959756645,-0.25308931143283925,-0.23692617226415,-0.23692617226415,0.035889771360939376,-0.060679020490049744,0.08516151943658799,0.051416051792689585,-0.06338225647396666,-0.2040157875558224,0.29612436681873444
precision,0.9001241200682105,0.15915463728839988,-0.2655650079401511,1.0,0.8933618559204601,0.955876442752804,0.5101838031225405,0.6147784414270432,0.10244537782550338,0.10244537782550338,0.0007973159625751021,-0.244270385509899,0.013223776940269986,-0.08309111360168585,-0.2121054927757717,-0.20825026777533903,-0.19931063422895356
recall,0.9617759579956189,0.4097404375518395,-0.4963516085824275,0.8933618559204601,1.0,0.9696668747706064,0.48428630488837177,0.7638499416404965,0.2806081855719326,0.2806081855719326,0.04913267025390259,-0.15865110256432233,0.10188032336667618,0.009510802085667165,-0.08580725441890029,-0.15446039723985552,-0.222574046046233
f1,0.954960268048207,0.2787864422771657,-0.42817070112606115,0.955876442752804,0.9696668747706064,1.0,0.5154809256613971,0.7028972903334259,0.21512252824325795,0.21512252824325795,-0.009102532095460842,-0.22816496229048544,0.0450080424933341,-0.051402739300433986,-0.1624287656863791,-0.19476794705221617,-0.24374412073250876
num_gt_objects,0.6213343698529337,0.3462335911566206,0.38972732959756645,0.5101838031225405,0.48428630488837177,0.5154809256613971,1.0,0.56178111406594,0.18737554514923704,0.18737554514923704,0.02011867431956405,-0.322333787476691,0.28169769033753556,0.03275675832919326,-0.17167935419361322,-0.3759836330384977,0.06279327631241961
num_pred_objects,0.7998372544095249,0.8590057204540175,-0.25308931143283925,0.6147784414270432,0.7638499416404965,0.7028972903334259,0.56178111406594,1.0,0.30060503662287286,0.30060503662287286,0.007457688946909802,-0.17045104223890667,0.1954133311590033,0.02227031583802562,-0.006381885406891029,-0.2640348536718863,-0.12107774092424813
luminance_mean,0.24386504768380632,0.2650714353185292,-0.23692617226415,0.10244537782550338,0.2806081855719326,0.21512252824325795,0.18737554514923704,0.30060503662287286,1.0,1.0,0.4063861429446243,0.08266993263931414,0.6404863966407138,0.1765093660313374,0.26967019508354473,0.008248702735732498,0.07071789459855501
luminance_norm,0.24386504768380632,0.2650714353185292,-0.23692617226415,0.10244537782550338,0.2806081855719326,0.21512252824325795,0.18737554514923704,0.30060503662287286,1.0,1.0,0.4063861429446243,0.08266993263931414,0.6404863966407138,0.1765093660313374,0.26967019508354473,0.008248702735732498,0.07071789459855501
luminance_var,0.025224052646503705,0.028338645262044097,0.035889771360939376,0.0007973159625751021,0.04913267025390259,-0.009102532095460842,0.02011867431956405,0.007457688946909802,0.4063861429446243,0.4063861429446243,1.0,0.35736156066835795,0.6143469512728545,0.11581547598788997,0.03490508266993264,0.15672535197891743,0.2542476686757573
blur,-0.2200076232766643,-0.019074088157145064,-0.060679020490049744,-0.244270385509899,-0.15865110256432233,-0.22816496229048544,-0.322333787476691,-0.17045104223890667,0.08266993263931414,0.08266993263931414,0.35736156066835795,1.0,0.11878225877001138,0.738728314839512,0.668935351237862,0.21093111281373098,-0.011786315766425836
entropy,0.11362537647264052,0.21361032400476232,0.08516151943658799,0.013223776940269986,0.10188032336667618,0.0450080424933341,0.28169769033753556,0.1954133311590033,0.6404863966407138,0.6404863966407138,0.6143469512728545,0.11878225877001138,1.0,0.09487068851734441,0.16021345464088882,0.09073573009305747,0.2020511274244429
density,-0.005507253129310995,0.10985628948465816,0.051416051792689585,-0.08309111360168585,0.009510802085667165,-0.051402739300433986,0.03275675832919326,0.02227031583802562,0.1765093660313374,0.1765093660313374,0.11581547598788997,0.738728314839512,0.09487068851734441,1.0,0.7992983759029816,0.004765693291901204,-0.21109609611337365
occupied_ratio,-0.1221179948172451,0.1383066024945641,-0.06338225647396666,-0.2121054927757717,-0.08580725441890029,-0.1624287656863791,-0.17167935419361322,-0.006381885406891029,0.26967019508354473,0.26967019508354473,0.03490508266993264,0.668935351237862,0.16021345464088882,0.7992983759029816,1.0,0.30991554564252094,-0.08923924794579562
presence_mosh_pit,-0.20381018850995183,-0.18614350885121778,-0.2040157875558224,-0.20825026777533903,-0.15446039723985552,-0.19476794705221617,-0.3759836330384977,-0.2640348536718863,0.008248702735732498,0.008248702735732498,0.15672535197891743,0.21093111281373098,0.09073573009305747,0.004765693291901204,0.30991554564252094,1.0,-0.18144368465060579
presence_hands_raised,-0.20667088386933943,-0.030905510037401433,0.29612436681873444,-0.19931063422895356,-0.222574046046233,-0.24374412073250876,0.06279327631241961,-0.12107774092424813,0.07071789459855501,0.07071789459855501,0.2542476686757573,-0.011786315766425836,0.2020511274244429,-0.21109609611337365,-0.08923924794579562,-0.18144368465060579,1.0
